時間,設備,值
2024-10-26 11:58:24,SA-45/TEMPERATURE,25.17
2024-10-26 11:58:26,SA-45/TEMPERATURE,26.11
2024-10-26 11:58:28,SA-45/TEMPERATURE,25.64
2024-10-26 11:58:30,SA-45/TEMPERATURE,26.11
2024-10-26 11:58:35,SA-45/LED_LEVEL,7
2024-10-26 11:58:35,SA-45/LED_LEVEL,5
2024-10-26 11:58:37,SA-45/LED_LEVEL,6
2024-10-26 11:58:37,SA-45/LED_LEVEL,7
2024-10-26 11:58:46,SA-45/TEMPERATURE,25.64
2024-10-26 11:58:48,SA-45/TEMPERATURE,26.11
2024-10-26 11:58:54,SA-45/TEMPERATURE,25.64
2024-10-26 11:58:58,SA-45/TEMPERATURE,26.11
2024-10-26 11:59:18,SA-45/TEMPERATURE,25.17
2024-10-26 11:59:30,SA-45/LED_LEVEL,5
2024-10-26 11:59:30,SA-45/LED_LEVEL,4
2024-10-26 11:59:31,SA-45/LED_LEVEL,5
2024-10-26 11:59:31,SA-45/LED_LEVEL,6
2024-10-26 11:59:58,SA-45/TEMPERATURE,25.64
2024-10-26 12:00:00,SA-45/TEMPERATURE,25.17
2024-10-26 12:01:35,SA-45/LED_LEVEL,5
2024-10-26 12:01:35,SA-45/LED_LEVEL,4
2024-10-26 12:01:36,SA-45/LED_LEVEL,3
2024-10-26 12:01:36,SA-45/LED_LEVEL,4
2024-10-26 12:01:37,SA-45/LED_LEVEL,5
2024-10-26 12:01:38,SA-45/LED_LEVEL,4
2024-10-26 12:01:39,SA-45/LED_LEVEL,6
2024-10-26 12:01:39,SA-45/LED_LEVEL,7
2024-10-26 12:01:39,SA-45/LED_LEVEL,8
2024-10-26 12:01:40,SA-45/LED_LEVEL,9
2024-10-26 12:01:40,SA-45/LED_LEVEL,7
2024-10-26 12:01:41,SA-45/LED_LEVEL,6
2024-10-26 12:01:41,SA-45/LED_LEVEL,5
2024-10-26 12:01:42,SA-45/LED_LEVEL,4
2024-10-26 12:01:43,SA-45/LED_LEVEL,3
2024-10-26 12:02:32,SA-45/TEMPERATURE,25.64
2024-10-26 12:02:34,SA-45/TEMPERATURE,25.17
